start_node,end_node,edge_type,distance_m,stairs_count,step_height,door_type,obstacle_info
서관_시작노드,서관_1층_문앞(중앙),외부_중앙계단,11.37,3,없음,없음,중앙 낮은 계단
서관_시작노드,서관_1층_문앞(장애인),외부_우회로,38.39,0,없음,없음,"장애인 통로, 약간의 경사"
서관_1층_문앞(중앙),서관_1층_로비,출입문,0.0,0,없음,밀고당기는문 2번,이중문 통과
서관_1층_문앞(장애인),서관_1층_로비,출입문,0.0,0,없음,밀고당기는문 2번,이중문 통과
동관_시작노드,동관_1층_문앞(중앙),외부_중앙계단,8.87,2,없음,없음,중앙 낮은 계단
동관_시작노드,동관_1층_문앞(좌측장애인),외부_우회로,39.51,0,없음,없음,"좌측 장애인 통로, 약간의 경사"
동관_시작노드,동관_1층_문앞(우측장애인),외부_우회로,36.01,0,없음,없음,"우측 장애인 통로, 약간의 경사"
동관_1층_문앞(중앙),동관_1층_로비,출입문,0.0,0,없음,밀고당기는문 1번 + 자동문 1번,복합문 통과
동관_1층_문앞(좌측장애인),동관_1층_로비,출입문,0.0,0,없음,밀고당기는문 1번 + 자동문 1번,복합문 통과
동관_1층_문앞(우측장애인),동관_1층_로비,출입문,0.0,0,없음,밀고당기는문 1번 + 자동문 1번,복합문 통과
서관_1층_로비,서관_1층_계단앞,실내복도,19.3,0,없음,없음,평지
서관_1층_로비,서관_1층_엘리베이터앞,실내복도,26.97,0,없음,없음,평지
서관_1층_로비,1층_중앙복도(연결통로),실내복도,21.14,0,없음,없음,서관->통로 진입
동관_1층_로비,동관_1층_계단앞,실내복도,22.98,0,없음,없음,평지
동관_1층_로비,1층_중앙복도(연결통로),실내복도,30.56,0,없음,없음,동관->통로 진입
1층_중앙복도(연결통로),서관_1층_엘리베이터앞,실내복도,36.43,0,없음,없음,통로 거쳐 엘베로 이동
서관_1층_계단앞,서관_2층_계단앞,내부계단,0.0,27,미니,없음,서관 중앙 계단
서관_2층_계단앞,서관_3층_계단앞,내부계단,0.0,24,미니,없음,서관 중앙 계단
서관_1층_엘리베이터앞,서관_2층_엘리베이터앞,엘리베이터,0.0,0,중간,없음,엘베 이용(수직이동)
서관_2층_엘리베이터앞,서관_3층_엘리베이터앞,엘리베이터,0.0,0,중간,없음,엘베 이용(수직이동)
주차장쪽_시작노드,주차장_계단위,외부보행로_및_계단,36.46,30,없음,없음,주차장에서 외부 계단(30칸) 오름
주차장_계단위,중간쪽계단_위,외부보행로_및_계단,1.82,23,없음,없음,중간 쪽계단 오름
주차장_계단위,열람실_긴계단_아래(동관쪽길),외부보행로,48.72,0,없음,없음,구름다리 회피 평지 경로
중간쪽계단_위,구름다리_입구,외부보행로,12.44,0,없음,없음,평지
구름다리_입구,구름다리_출구(서관2층),외부구름다리,10.72,0,없음,없음,휠체어 통과 가능
쪽길_시작노드(개구멍),쪽계단_아래,외부보행로,67.52,0,없음,없음,건물 뒷편 외곽길
쪽계단_아래,3층_쪽계단위,외부계단,38.6,24,없음,없음,3층으로 직행하는 외부 계단
열람실_긴계단_아래(동관쪽길),3층_열람실_입구,외부계단,0.0,51,없음,밀고당기는문 1번,"가장 긴 계단, 열람실 앞 턱 없음"
3층_쪽계단위,3층_열람실_입구,실내복도,23.28,0,없음,밀고당기는문 1번,열람실 앞 턱 없음
구름다리_출구(서관2층),서관_2층_엘리베이터앞,실내복도,13.79,0,없음,없음,평지
서관_3층_엘리베이터앞,3층_열람실_입구,실내복도,39.91,0,없음,밀고당기는문 1번,열람실 앞 턱 없음
서관_3층_계단앞,3층_열람실_입구,실내복도,2.67,0,없음,밀고당기는문 1번,열람실 앞 턱 없음
